Angle,Temp [K],Field [T],4mm Ic [A],Je [A/mm2]
0,34,24,80.78,315.55
0,35,24,76.61,299.26
0,36,24,72.66,283.82
0,37,24,68.91,269.17
0,38,24,65.35,255.28
0,39,24,61.98,242.1
0,40,24,58.78,229.61
0,41,24,55.75,217.75
0,42,24,52.87,206.52
0,43,24,50.14,195.86
0,44,24,47.55,185.75
0,45,24,45.1,176.16
0,46,24,42.77,167.07
0,47,24,40.56,158.45
0,48,24,38.47,150.27
0,49,24,36.48,142.51
0,50,24,34.6,135.16
0,4,25,388.24,1516.55
0,5,25,368.01,1437.55
0,6,25,348.84,1362.67
0,7,25,330.67,1291.69
0,8,25,313.45,1224.41
0,9,25,297.12,1160.63
0,10,25,281.64,1100.17
0,11,25,266.97,1042.87
0,12,25,253.07,988.55
0,13,25,239.89,937.05
0,14,25,227.39,888.24
0,15,25,215.55,841.98
0,16,25,204.32,798.12
0,17,25,193.68,756.55
0,18,25,183.59,717.14
0,19,25,174.02,679.78
0,20,25,164.96,644.37
0,21,25,156.37,610.81
0,22,25,148.22,578.99
0,23,25,140.5,548.83
0,24,25,133.18,520.25
0,25,25,126.25,493.15
0,26,25,119.67,467.46
0,27,25,113.44,443.11
0,28,25,107.53,420.03
0,29,25,101.93,398.15
0,30,25,96.62,377.41
0,31,25,91.58,357.75
0,32,25,86.81,339.12
0,33,25,82.29,321.45
0,34,25,78.01,304.71
0,35,25,73.94,288.84
0,36,25,70.09,273.79
0,37,25,66.44,259.53
0,38,25,62.98,246.01
0,39,25,59.7,233.2
0,40,25,56.59,221.05
0,41,25,53.64,209.54
0,42,25,50.85,198.62
0,43,25,48.2,188.28
0,44,25,45.69,178.47
0,45,25,43.31,169.17
0,46,25,41.05,160.36
0,47,25,38.91,152.01
0,48,25,36.89,144.09
0,49,25,34.97,136.58
0,50,25,33.14,129.47
