%T(K)	B(T)	RRR	rho(ohm*m)
180	43	100	1.14324E-08
200	43	100	1.28105E-08
220	43	100	1.41698E-08
240	43	100	1.55129E-08
260	43	100	1.68423E-08
280	43	100	1.81600E-08
300	43	100	1.94681E-08
320	43	100	2.07677E-08
340	43	100	2.20602E-08
360	43	100	2.33466E-08
380	43	100	2.46277E-08
400	43	100	2.59042E-08
420	43	100	2.71767E-08
440	43	100	2.84459E-08
460	43	100	2.97119E-08
0	44	100	2.05248E-09
20	44	100	2.06971E-09
40	44	100	2.38015E-09
60	44	100	3.19121E-09
80	44	100	4.39611E-09
100	44	100	5.78166E-09
120	44	100	7.22020E-09
140	44	100	8.65911E-09
160	44	100	1.00803E-08
180	44	100	1.14795E-08
200	44	100	1.28576E-08
220	44	100	1.42169E-08
240	44	100	1.55600E-08
260	44	100	1.68894E-08
280	44	100	1.82072E-08
300	44	100	1.95152E-08
320	44	100	2.08148E-08
340	44	100	2.21073E-08
360	44	100	2.33937E-08
380	44	100	2.46749E-08
400	44	100	2.59513E-08
420	44	100	2.72239E-08
440	44	100	2.84931E-08
460	44	100	2.97591E-08
0	45	100	2.09134E-09
20	45	100	2.10898E-09
40	45	100	2.42389E-09
60	45	100	3.23727E-09
80	45	100	4.44276E-09
100	45	100	5.82852E-09
120	45	100	7.26716E-09
140	45	100	8.70613E-09
160	45	100	1.01273E-08
180	45	100	1.15266E-08
200	45	100	1.29047E-08
220	45	100	1.42640E-08
240	45	100	1.56071E-08
260	45	100	1.69365E-08
280	45	100	1.82543E-08
300	45	100	1.95623E-08
320	45	100	2.08620E-08
340	45	100	2.21545E-08
360	45	100	2.34409E-08
380	45	100	2.47220E-08
400	45	100	2.59985E-08
420	45	100	2.72711E-08
440	45	100	2.85402E-08
460	45	100	2.98063E-08
