%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
281	286.7015289	289.5641112	289.8448312	291.0259013	292.489239	297.2088356	308.2584501	317.9694995
282	286.6935938	289.5330953	289.8108907	290.9762567	292.4264241	297.140117	308.1860484	317.8945698
283	286.6851504	289.5017251	289.7766162	290.9263922	292.3634949	297.071337	308.1136106	317.8196121
284	286.676204	289.4700045	289.7420116	290.8763107	292.3004533	297.0024967	308.0411378	317.7446274
285	286.6667603	289.4379377	289.7070808	290.8260149	292.237301	296.9335974	307.9686308	317.6696165
286	286.6568247	289.4055289	289.6718277	290.7755077	292.1740398	296.8646404	307.8960907	317.5945802
287	286.6464026	289.3727819	289.6362562	290.7247919	292.1106714	296.7956267	307.8235184	317.5195195
288	286.6354994	289.339701	289.6003702	290.6738703	292.0471977	296.7265578	307.7509148	317.4444353
289	286.6241204	289.30629	289.5641734	290.6227456	291.9836204	296.6574349	307.6782811	317.3693286
290	286.612271	289.272553	289.5276696	290.5714207	291.9199413	296.5882592	307.6056182	317.2942002
291	286.5999564	289.238494	289.4908628	290.5198983	291.8561622	296.519032	307.5329272	317.2190512
292	286.5871817	289.2041168	289.4537565	290.4681812	291.7922848	296.4497547	307.4602091	317.1438824
293	286.5739523	289.1694253	289.4163546	290.416272	291.728311	296.3804284	307.3874649	317.068695
294	286.5602731	289.1344235	289.3786606	290.3641736	291.6642426	296.3110545	307.3146957	316.9934898
295	286.5461492	289.0991152	289.3406784	290.3118886	291.6000812	296.2416343	307.2419026	316.9182679
296	286.5315858	289.0635042	289.3024116	290.2594197	291.5358288	296.1721691	307.1690866	316.8430303
297	286.5165877	289.0275942	289.2638637	290.2067697	291.471487	296.1026601	307.0962489	316.767778
298	286.5011599	288.991389	289.2250383	290.1539411	291.4070577	296.0331088	307.0233905	316.692512
299	286.4853074	288.9548924	289.1859391	290.1009366	291.3425426	295.9635163	306.9505124	316.6172333
300	286.469035	288.918108	289.1465696	290.0477588	291.2779434	295.893884	306.8776158	316.541943
